"100"
"5"
"322","297"
"386","110"
"817","699"
"480","152"
"951","730"
"333","177"
"534","549"
"850","766"
"201","100"
"723","474"
"908","71"
"182","500"
"297","195"
"781","761"
"584","276"
"103","457"
"261","2"
"488","731"
"956","745"
"564","313"
"1010","756"
"425","681"
"352","415"
"467","132"
"918","207"
"347","361"
"798","701"
"88","97"
"905","123"
"336","501"
"962","282"
"558","568"
"733","451"
"608","335"
"803","641"
"195","495"
"201","630"
"325","129"
"19","630"
"478","228"
"705","236"
"14","79"
"604","596"
"1006","56"
"478","284"
"148","97"
"475","556"
"290","169"
"202","129"
"591","32"
"632","654"
"106","336"
"634","762"
"629","574"
"653","235"
"905","377"
"696","144"
"770","650"
"154","112"
"149","710"
"612","505"
"527","391"
"862","315"
"690","358"
"371","37"
"434","40"
"719","263"
"897","730"
"764","422"
"487","644"
"818","213"
"31","60"
"368","127"
"792","408"
"947","476"
"348","146"
"636","129"
"967","336"
"297","446"
"705","25"
"788","656"
"849","196"
"559","674"
"175","129"
"975","737"
"29","685"
"855","275"
"400","453"
"323","39"
"331","712"
"703","79"
"620","574"
"260","58"
"998","27"
"86","502"
"261","180"
"325","387"
"852","550"
"316","752"
"375","47"
"862","497"
"263","560"
"374","142"
"86","22"
"645","630"
"2"
"3"
"1"
"2"
"3"
"3"
"4"
"2"
"4"
"4"
"2"
"4"
"3"
"3"
"2"
"4"
"1"
"4"
"3"
"3"
"2"
"2"
"4"
"2"
"3"
"1"
"4"
"1"
"3"
"2"
"3"
"2"
"3"
"3"
"3"
"2"
"1"
"2"
"4"
"4"
"3"
"3"
"3"
"4"
"2"
"3"
"1"
"4"
"4"
"3"
"1"
"3"
"3"
"1"
"1"
"1"
"2"
"2"
"1"
"1"
"1"
"1"
"4"
"3"
"3"
"2"
"3"
"4"
"1"
"4"
"2"
"1"
"1"
"3"
"1"
"4"
"1"
"2"
"2"
"4"
"4"
"2"
"3"
"4"
"1"
"3"
"3"
"3"
"4"
"4"
"2"
"3"
"1"
"2"
"2"
"4"
"3"
"2"
"2"
"4"
